holding_id,client_id,ticker,company_name,sector,quantity,avg_buy_price,current_price,current_value,weight_pct,unrealized_pnl
H001,C001,AAPL,Apple Inc,Technology,150,145,189,28350,28.5,6600
H002,C001,MSFT,Microsoft Corp,Technology,80,310,415,33200,33.4,8400
H003,C001,HDFCBANK,HDFC Bank,Financials,500,1450,1620,810000,18.2,85000
H004,C001,RELIANCE,Reliance Industries,Energy,200,2200,2450,490000,11,50000
H005,C001,GOLDBEES,Gold ETF,Commodities,1000,42,48,48000,4.8,6000
H006,C002,INFY,Infosys Ltd,Technology,300,1380,1520,456000,38,42000
H007,C002,TCS,Tata Consultancy,Technology,100,3200,3680,368000,30.7,48000
H008,C002,AXISBANK,Axis Bank,Financials,400,820,975,390000,32.5,62000
H009,C003,NIFTYBEES,Nifty ETF,Index,5000,180,215,1075000,12.1,175000
H010,C003,HDFCBANK,HDFC Bank,Financials,2000,1450,1620,3240000,36.4,340000
H011,C003,ICICIPRU,ICICI Pru Life,Insurance,1500,480,520,780000,8.8,60000
H012,C003,GOVTBOND,Govt Bond 2034,Bonds,100,10000,10250,1025000,11.5,25000
H013,C004,WIPRO,Wipro Ltd,Technology,600,380,450,270000,11.7,42000
H014,C004,SBIN,State Bank of India,Financials,1000,450,580,580000,25.2,130000
H015,C004,ASIANPAINT,Asian Paints,Consumer,200,2800,3100,620000,26.9,60000
H016,C005,TATAMOTORS,Tata Motors,Automobile,500,420,680,340000,45.3,130000
H017,C005,ZOMATO,Zomato Ltd,Consumer Tech,2000,72,145,290000,38.7,146000
H018,C006,HDFCBANK,HDFC Bank,Financials,3000,1450,1620,4860000,78.4,510000
H019,C006,GOLDBEES,Gold ETF,Commodities,10000,42,48,480000,7.7,60000
H020,C007,AAPL,Apple Inc,Technology,200,145,189,37800,21,8800
H021,C007,MSFT,Microsoft Corp,Technology,60,310,415,24900,13.8,6300
H022,C007,INFY,Infosys Ltd,Technology,400,1380,1520,608000,33.8,56000
H023,C008,NIFTYBEES,Nifty ETF,Index,3000,180,215,645000,18.97,105000
H024,C008,GOVTBOND,Govt Bond 2034,Bonds,200,10000,10250,2050000,60.3,50000
