txn_id,client_id,ticker,txn_type,quantity,price,amount,txn_date,status,account_type
T001,C001,AAPL,BUY,50,142.00,7100,2026-01-15,Settled,Brokerage
T002,C001,MSFT,BUY,30,308.00,9240,2026-01-20,Settled,Brokerage
T003,C002,INFY,BUY,100,1375.00,137500,2026-02-01,Settled,Brokerage
T004,C002,TCS,BUY,50,3180.00,159000,2026-02-10,Settled,Brokerage
T005,C003,HDFCBANK,BUY,500,1445.00,722500,2026-02-15,Settled,Brokerage
T006,C004,SBIN,BUY,300,448.00,134400,2026-03-01,Settled,Brokerage
T007,C005,TATAMOTORS,BUY,200,415.00,83000,2026-03-10,Settled,Brokerage
T008,C005,ZOMATO,BUY,1000,70.00,70000,2026-03-15,Settled,Brokerage
T009,C001,RELIANCE,SELL,50,2420.00,121000,2026-03-20,Settled,Brokerage
T010,C006,HDFCBANK,BUY,1000,1448.00,1448000,2026-04-01,Settled,Brokerage
T011,C007,INFY,BUY,150,1378.00,206700,2026-04-05,Settled,Brokerage
T012,C003,NIFTYBEES,BUY,1000,178.00,178000,2026-04-10,Settled,Brokerage
T013,C002,AXISBANK,BUY,200,818.00,163600,2026-04-15,Settled,Brokerage
T014,C008,GOVTBOND,BUY,100,10000.00,1000000,2026-04-20,Settled,Brokerage
T015,C001,GOLDBEES,BUY,500,41.50,20750,2026-05-01,Settled,Brokerage
T016,C004,ASIANPAINT,BUY,100,2790.00,279000,2026-05-05,Settled,Brokerage
T017,C007,AAPL,BUY,80,144.00,11520,2026-05-10,Settled,Brokerage
T018,C005,TATAMOTORS,BUY,300,418.00,125400,2026-05-12,Settled,Brokerage
T019,C006,GOLDBEES,BUY,5000,41.80,209000,2026-05-14,Settled,Brokerage
T020,C003,GOVTBOND,BUY,100,10000.00,1000000,2026-05-15,Settled,Brokerage
